Date,Open,High,Low,Close,Adj Close,Volume,Source
2002-05-23,1.156429,1.242857,1.145714,1.196429,1.196429,104790000,NFLX Data
2002-05-24,1.214286,1.225,1.197143,1.21,1.21,11104800,NFLX Data
2002-05-28,1.213571,1.232143,1.157143,1.157143,1.157143,6609400,NFLX Data
2002-05-29,1.164286,1.164286,1.085714,1.103571,1.103571,6757800,NFLX Data
2002-05-30,1.107857,1.107857,1.071429,1.071429,1.071429,10154200,NFLX Data
2002-05-31,1.078571,1.078571,1.071429,1.076429,1.076429,8464400,NFLX Data
2002-06-03,1.08,1.149286,1.076429,1.128571,1.128571,3151400,NFLX Data
2002-06-04,1.135714,1.14,1.110714,1.117857,1.117857,3105200,NFLX Data
2002-06-05,1.110714,1.159286,1.107143,1.147143,1.147143,1531600,NFLX Data
2002-06-06,1.15,1.232143,1.148571,1.182143,1.182143,2305800,NFLX Data
2002-06-07,1.177857,1.177857,1.103571,1.118571,1.118571,1369200,NFLX Data
2002-06-10,1.135,1.175,1.134286,1.156429,1.156429,484400,NFLX Data
2002-06-11,1.156429,1.188571,1.128571,1.153571,1.153571,1003800,NFLX Data
2002-06-12,1.153571,1.182143,1.089286,1.092857,1.092857,1799000,NFLX Data
2002-06-13,1.104286,1.122143,1.08,1.082857,1.082857,2567600,NFLX Data
2002-06-14,1.082143,1.085714,0.98,0.986429,0.986429,4783800,NFLX Data
2002-06-17,1.013571,1.059286,0.917857,0.922143,0.922143,4855200,NFLX Data
2002-06-18,0.938571,0.939286,0.842143,0.910714,0.910714,10808000,NFLX Data
2002-06-19,0.911429,0.996429,0.892857,0.951429,0.951429,5482400,NFLX Data
2002-06-20,0.971429,1.04,0.95,0.957143,0.957143,6111000,NFLX Data
2002-06-21,0.982143,0.989286,0.947857,0.979286,0.979286,2346400,NFLX Data
2002-06-24,0.979286,1.014286,0.957143,0.978571,0.978571,2567600,NFLX Data
2002-06-25,0.988571,1.007143,0.947143,0.964286,0.964286,3941000,NFLX Data
2002-06-26,0.963571,0.996429,0.921429,0.988571,0.988571,2924600,NFLX Data
2002-06-27,1.009286,1.018571,0.942857,0.943571,0.943571,3817800,NFLX Data
2002-06-28,0.960714,1.013571,0.960714,0.999286,0.999286,9234400,NFLX Data
2002-07-01,1.0,1.046429,0.992857,1.027857,1.027857,4585000,NFLX Data
2002-07-02,1.053571,1.195,1.039286,1.172857,1.172857,9020200,NFLX Data
2002-07-03,1.178571,1.214286,1.117857,1.214286,1.214286,4957400,NFLX Data
2002-07-05,1.214286,1.299286,1.213571,1.276429,1.276429,2003400,NFLX Data
2002-07-08,1.252143,1.252143,1.167857,1.175714,1.175714,1953000,NFLX Data
2002-07-09,1.175,1.196429,1.114286,1.160714,1.160714,2935800,NFLX Data
2002-07-10,1.161429,1.178571,1.132143,1.163571,1.163571,1554000,NFLX Data
2002-07-11,1.154286,1.278571,1.132857,1.269286,1.269286,2529800,NFLX Data
2002-07-12,1.278571,1.28,1.207143,1.207857,1.207857,2837800,NFLX Data
2002-07-15,1.242857,1.248571,1.076429,1.142857,1.142857,4239200,NFLX Data
2002-07-16,1.152857,1.157143,1.104286,1.126429,1.126429,1941800,NFLX Data
2002-07-17,1.145,1.163571,1.075714,1.089286,1.089286,1261400,NFLX Data
2002-07-18,1.117143,1.166429,1.110714,1.149286,1.149286,2899400,NFLX Data
2002-07-19,1.152857,1.160714,1.122143,1.16,1.16,1792000,NFLX Data
2002-07-22,1.135714,1.179286,1.115,1.170714,1.170714,1993600,NFLX Data
2002-07-23,1.176429,1.213571,1.130714,1.146429,1.146429,1577800,NFLX Data
2002-07-24,1.146429,1.159286,1.074286,1.114286,1.114286,3355800,NFLX Data
2002-07-25,1.125,1.127857,1.035,1.036429,1.036429,4755800,NFLX Data
2002-07-26,1.05,1.058571,0.85,0.871429,0.871429,7046200,NFLX Data
2002-07-29,0.896429,0.924286,0.85,0.876429,0.876429,3260600,NFLX Data
2002-07-30,0.893571,0.942857,0.893571,0.914286,0.914286,3777200,NFLX Data
2002-07-31,0.928571,0.96,0.905714,0.953571,0.953571,3333400,NFLX Data
2002-08-01,0.95,0.96,0.877857,0.891429,0.891429,4529000,NFLX Data
2002-08-02,0.886429,0.887857,0.706429,0.777857,0.777857,6655600,NFLX Data
2002-08-05,0.778571,0.812857,0.760714,0.775,0.775,3808000,NFLX Data
2002-08-06,0.795714,0.803571,0.742857,0.760714,0.760714,3217200,NFLX Data
2002-08-07,0.760714,0.793571,0.742857,0.793571,0.793571,2758000,NFLX Data
2002-08-08,0.796429,0.803571,0.750714,0.796429,0.796429,2283400,NFLX Data
2002-08-09,0.798571,0.821429,0.778571,0.787143,0.787143,1500800,NFLX Data
2002-08-12,0.802857,0.807143,0.753571,0.757143,0.757143,2130800,NFLX Data
2002-08-13,0.767857,0.805,0.754286,0.772857,0.772857,1677200,NFLX Data
2002-08-14,0.775714,0.833571,0.771429,0.833571,0.833571,4047400,NFLX Data
2002-08-15,0.837143,0.910714,0.832857,0.882857,0.882857,3263400,NFLX Data
2002-08-16,0.892857,0.924286,0.857143,0.912857,0.912857,1828400,NFLX Data
2002-08-19,0.925,0.984286,0.917857,0.982143,0.982143,2074800,NFLX Data
2002-08-20,0.985,0.993571,0.921429,0.946429,0.946429,2539600,NFLX Data
2002-08-21,0.952857,0.971429,0.918571,0.968571,0.968571,2779000,NFLX Data
2002-08-22,0.973571,0.999286,0.929286,0.983571,0.983571,2963800,NFLX Data
2002-08-23,0.993571,0.996429,0.967857,0.993571,0.993571,2406600,NFLX Data
2002-08-26,0.996429,0.996429,0.937857,0.967857,0.967857,2644600,NFLX Data
2002-08-27,0.967857,0.967857,0.857857,0.873571,0.873571,4984000,NFLX Data
2002-08-28,0.861429,0.89,0.825,0.864286,0.864286,2275000,NFLX Data
2002-08-29,0.832857,0.922143,0.824286,0.903571,0.903571,2395400,NFLX Data
2002-08-30,0.914286,0.962857,0.894286,0.936429,0.936429,2121000,NFLX Data
2002-09-03,0.936429,0.963571,0.913571,0.925,0.925,1593200,NFLX Data
2002-09-04,0.925714,0.945714,0.907857,0.928571,0.928571,373800,NFLX Data
2002-09-05,0.917857,0.935714,0.910714,0.917857,0.917857,285600,NFLX Data
2002-09-06,0.927857,0.935714,0.910714,0.914286,0.914286,763000,NFLX Data
2002-09-09,0.919286,0.925,0.892857,0.901429,0.901429,1419600,NFLX Data
2002-09-10,0.900714,0.95,0.889286,0.945,0.945,4746000,NFLX Data
2002-09-11,0.938571,0.976429,0.938571,0.961429,0.961429,1629600,NFLX Data
2002-09-12,0.962857,0.967143,0.914286,0.925,0.925,1943200,NFLX Data
2002-09-13,0.921429,0.927143,0.864286,0.878571,0.878571,2485000,NFLX Data
2002-09-16,0.892143,0.892143,0.852857,0.857143,0.857143,3512600,NFLX Data
2002-09-17,0.863571,0.864286,0.825,0.83,0.83,2863000,NFLX Data
2002-09-18,0.836429,0.841429,0.785,0.787857,0.787857,1521800,NFLX Data
2002-09-19,0.785,0.785714,0.717857,0.724286,0.724286,4978400,NFLX Data
2002-09-20,0.753571,0.767857,0.7,0.707857,0.707857,3484600,NFLX Data
2002-09-23,0.714286,0.732143,0.705714,0.711429,0.711429,4839800,NFLX Data
2002-09-24,0.711429,0.725,0.689286,0.717857,0.717857,3747800,NFLX Data
2002-09-25,0.724286,0.75,0.707857,0.732143,0.732143,1457400,NFLX Data
2002-09-26,0.748571,0.782857,0.728571,0.782857,0.782857,4162200,NFLX Data
2002-09-27,0.776429,0.784286,0.712143,0.72,0.72,5105800,NFLX Data
2002-09-30,0.707143,0.721429,0.689286,0.692857,0.692857,4837000,NFLX Data
2002-10-01,0.709286,0.71,0.660714,0.678571,0.678571,3850000,NFLX Data
2002-10-02,0.688571,0.688571,0.560714,0.578571,0.578571,9314200,NFLX Data
2002-10-03,0.569286,0.57,0.489286,0.517857,0.517857,9765000,NFLX Data
2002-10-04,0.517857,0.531429,0.447143,0.468571,0.468571,8433600,NFLX Data
2002-10-07,0.45,0.458571,0.382143,0.412143,0.412143,15724800,NFLX Data
2002-10-08,0.410714,0.427857,0.390714,0.405,0.405,4531800,NFLX Data
2002-10-09,0.41,0.410714,0.347143,0.372857,0.372857,5982200,NFLX Data
2002-10-10,0.377857,0.525,0.346429,0.506429,0.506429,13577200,NFLX Data
2002-10-11,0.508571,0.528571,0.446429,0.470714,0.470714,13281800,NFLX Data
2002-10-14,0.464286,0.535,0.463571,0.534286,0.534286,5272400,NFLX Data
2002-10-15,0.542857,0.585714,0.542143,0.55,0.55,4125800,NFLX Data
2002-10-16,0.529286,0.532857,0.442857,0.459286,0.459286,5800200,NFLX Data
2002-10-17,0.472143,0.585714,0.471429,0.55,0.55,7481600,NFLX Data
2002-10-18,0.585714,0.735714,0.585714,0.682857,0.682857,24904600,NFLX Data
2002-10-21,0.638571,0.664286,0.608571,0.636429,0.636429,9686600,NFLX Data
2002-10-22,0.635714,0.643571,0.617857,0.625,0.625,4263000,NFLX Data
2002-10-23,0.625,0.625,0.585714,0.589286,0.589286,3539200,NFLX Data
2002-10-24,0.606429,0.606429,0.553571,0.579286,0.579286,2431800,NFLX Data
2002-10-25,0.58,0.685,0.567857,0.642857,0.642857,6447000,NFLX Data
2002-10-28,0.664286,0.707143,0.65,0.685714,0.685714,5647600,NFLX Data
2002-10-29,0.675,0.678571,0.632857,0.657143,0.657143,2004800,NFLX Data
2002-10-30,0.663571,0.665714,0.635714,0.641429,0.641429,1423800,NFLX Data
2002-10-31,0.636429,0.642857,0.623571,0.640714,0.640714,1659000,NFLX Data
2002-11-01,0.628571,0.642857,0.607143,0.638571,0.638571,2126600,NFLX Data
2002-11-04,0.642857,0.702857,0.639286,0.671429,0.671429,3589600,NFLX Data
2002-11-05,0.672143,0.676429,0.650714,0.651429,0.651429,1045800,NFLX Data
2002-11-06,0.664286,0.664286,0.612857,0.629286,0.629286,7032200,NFLX Data
2002-11-07,0.632143,0.637857,0.592857,0.592857,0.592857,2585800,NFLX Data
2002-11-08,0.605,0.612857,0.553571,0.610714,0.610714,4922400,NFLX Data
2002-11-11,0.607143,0.607143,0.585714,0.600714,0.600714,371000,NFLX Data
2002-11-12,0.6,0.614286,0.572143,0.577857,0.577857,2191000,NFLX Data
2002-11-13,0.579286,0.642857,0.555714,0.641429,0.641429,3231200,NFLX Data
2002-11-14,0.642857,0.645,0.618571,0.618571,0.618571,931000,NFLX Data
